source,target,weight
255409050,1248788066493292544,47
255409050,1330804989761966082,1
255409050,1309542507210924032,1
255409050,1129672753651388416,1
255409050,241422232,2
255409050,1623573790612414464,2
255409050,1503095026066210816,1
255409050,1599695159440322561,8
255409050,1191410828253130752,4
255409050,807788035894980608,1
255409050,1153659192286183424,1
255409050,1700943431969955840,2
255409050,540612927,5
255409050,1237698455843131393,1
255409050,1610183865678823424,1
255409050,1806039874979733504,1
255409050,339009801,1
255409050,2524229136,1
255409050,3543482659,1
255409050,1740692747097702400,1
255409050,50176307,2
302606926,1248788066493292544,2
302606926,1504425968613851138,1
302606926,1546135642093998080,1
302606926,1494651143632613378,1
302606926,1842491808095608832,1
302606926,1760991310025306112,4
302606926,1174823341036691457,2
302606926,1467392756486008832,1
302606926,1803612625307312130,2
302606926,1304449167331188736,1
302606926,1248796943960006661,2
302606926,1103989782282006532,1
302606926,796645220096077824,1
302606926,1352204518444810241,5
302606926,1148387257646108672,1
302606926,1267963162487185408,1
302606926,1076427513155411968,1
302606926,1640238013237305345,1
302606926,1709062441680945152,1
302606926,1185042505294704640,4
302606926,1353014891905355777,1
302606926,69386259,1
302606926,1076526396841746432,1
302606926,1313386437027405824,1
302606926,1430840172715778052,1
302606926,1120927516653264896,2
302606926,840449983971131392,1
302606926,1316282223230775296,1
302606926,14233222,1
302606926,1330804989761966082,12
302606926,1545271727521169411,1
302606926,1497558462263291912,1
302606926,1803499576688787457,2
302606926,970880164975357953,4
302606926,295081792,2
302606926,1449949390999859205,1
302606926,1503095026066210816,4
302606926,1696373590588080128,1
302606926,1484169269235818501,4
302606926,3285237451,5
302606926,1355379030,2
302606926,62854120,2
302606926,254548125,2
302606926,1744594571764592640,1
302606926,533891300,1
302606926,46303385,2
302606926,1157241883606732800,1
302606926,120422799,1
302606926,1316839975908909056,2
302606926,70273418,1
302606926,1763501278410473472,2
302606926,1281264725691518976,1
302606926,1005808225336217603,1
302606926,1153465514695413760,2
302606926,702081534,1
302606926,1120722652916670464,1
302606926,1261329219671306240,1
302606926,3077772414,1
302606926,1595840913108242433,1
302606926,1686822581998075904,1
302606926,1827274173456248833,1
302606926,1546697185,5
302606926,1390975938,1
302606926,1278342617781030919,1
302606926,1309542507210924032,1
302606926,1129672753651388416,1
302606926,1366273234660777984,8
302606926,2356336351,3
302606926,1133343782894653440,1
302606926,1688254823425310720,1
302606926,1435266308241694730,4
302606926,1352205691029622786,2
302606926,1348323676454748160,1
302606926,793730672,7
302606926,1794389047839997952,1
302606926,1726699029839691776,2
302606926,1474766558442360835,1
302606926,772331669025992704,1
302606926,1328680857058508805,2
302606926,1234697154989568000,2
302606926,1373563426744664065,2
302606926,1785807027148935168,5
302606926,1210712237217726464,3
302606926,272285886,1
302606926,926074554241265669,1
302606926,1806039874979733504,10
302606926,131233656,1
302606926,1449525430000648194,1
302606926,241422232,12
302606926,1276073343624441859,1
302606926,991607818842095617,2
302606926,200412554,1
302606926,1137958420059836416,1
302606926,35707109,1
302606926,809159997644906496,1
302606926,978460005186682880,7
302606926,1623573790612414464,4
302606926,1438621263761592320,3
302606926,1486288549519724545,2
302606926,1076207409733951488,1
302606926,711816272179122176,1
302606926,914394620687147008,1
302606926,1740692747097702400,4
302606926,1151302159545200640,1
302606926,1280799930685157376,1
302606926,1742448120414539776,1
302606926,1237044933371908098,2
302606926,1242289732551200769,1
302606926,1627880699595476992,2
302606926,307106390,1
302606926,1794136793966845952,1
302606926,1451386308639612937,1
302606926,1181345306,1
302606926,1599695159440322561,45
302606926,1270313131869257728,1
302606926,1801191094887313408,1
302606926,1216016309831360514,1
302606926,1191410828253130752,22
302606926,1506172346474049537,1
302606926,561103878,1
302606926,326512651,2
302606926,1422162505791524865,2
302606926,1022055250071449601,1
302606926,56365990,1
302606926,1490265456120254466,1
302606926,1735539452070727680,1
302606926,233158485,1
302606926,807788035894980608,3
302606926,1549671394300264448,1
302606926,1214365112720510976,4
302606926,1769389230005121024,1
302606926,1416468013499305984,1
302606926,1764319070646870017,1
302606926,340222032,2
302606926,1240438034505449474,1
302606926,1516334407472230403,1
302606926,1559561251268677632,2
302606926,1369267047494864901,1
302606926,1607331019996418050,1
302606926,1548573604165853186,1
302606926,1265308038316961792,3
302606926,1747785020343996417,1
302606926,993878851510915073,1
302606926,1428393972263575555,1
302606926,2455007629,1
302606926,2751826718,1
302606926,2336877098,1
302606926,2840983645,2
302606926,876030869151989760,1
302606926,285413318,2
302606926,1158533471351918592,1
302606926,1490530504210526208,1
302606926,2744847553,2
302606926,254844949,1
302606926,1672608896253587457,2
302606926,1338474966962991106,1
302606926,1304256231884746752,2
302606926,1541035076699295744,2
302606926,1096667072535224320,2
302606926,1761641361030500352,2
302606926,1470399250026561536,2
302606926,49940615,2
302606926,1608880766678863873,2
302606926,1323478628563185666,6
302606926,1741545561466224640,1
302606926,1647752622,1
302606926,1285968827038064641,1
302606926,1342742096705253376,2
302606926,1323230911320649728,2
302606926,151065217,1
302606926,1775182794802806784,2
302606926,114188280,1
302606926,1522190013730988032,1
302606926,1483746509145645065,2
302606926,1973564496,2
302606926,1471412626156503042,1
302606926,1554038253640368128,1
302606926,187401641,1
302606926,1340654649892773889,13
302606926,1683096322470219779,1
302606926,1028022036289880064,2
302606926,1423667489423069192,1
302606926,1003173136391495681,2
302606926,1419563289764274180,2
302606926,1650855921424408577,1
302606926,1794293869502513152,1
302606926,1158471938,3
302606926,1177714048873324544,1
302606926,555908827,1
302606926,1274963999252082688,1
302606926,274443239,3
302606926,1153659192286183424,8
302606926,1535446390410575872,1
302606926,85805406,1
302606926,124063292,1
302606926,1670444418128822272,1
302606926,1578537844683198465,3
302606926,61776651,1
302606926,308254934,1
302606926,1362571790568988676,1
302606926,768923312177057792,1
302606926,47287134,1
302606926,904100130164424704,1
302606926,1198301966566215681,1
302606926,257002421,1
302606926,1492820442209746947,2
302606926,1705626055514771456,1
302606926,1314770605724499969,1
302606926,542231161,1
302606926,1242245100765212673,1
302606926,242287870,1
302606926,1038414406726475777,1
302606926,525452054,4
302606926,1300403687093723139,1
302606926,2991095544,10
302606926,1615434295690293248,1
302606926,1248907282689093634,1
302606926,59433879,1
302606926,1508457801219149828,1
302606926,1489319288179929088,2
302606926,1477287773098758144,1
302606926,24142480,1
302606926,1940915714,1
302606926,386839365,5
302606926,1285380314240442368,4
302606926,1500604856847171586,1
302606926,1580588283465461760,4
302606926,1649770975448420354,1
302606926,1398268984072437763,1
302606926,1242790526333513729,3
302606926,224177872,1
302606926,2510554230,1
302606926,1162266955564191745,1
302606926,1770040555550175232,1
302606926,1079557530936700928,1
302606926,765035200896118789,3
302606926,1540008987336515584,2
302606926,1724335629969100800,1
302606926,1472215296534454272,3
302606926,348895915,1
302606926,1472827792672772097,1
302606926,1216918270629969921,1
302606926,1020627754126008322,1
302606926,1722987284864335872,2
302606926,1231846611225128960,1
302606926,1394245543770001410,1
302606926,1558118466175270913,1
302606926,369316583,1
302606926,788356085346283521,1
302606926,1357314461497888773,1
302606926,1832330957195759616,1
302606926,1031771450,1
302606926,817572517938216960,2
302606926,1618004550019067904,3
302606926,1364784780932382720,1
302606926,90339333,1
302606926,1700227438331179008,1
302606926,1289830915657461760,2
302606926,1326381547499511810,1
302606926,1372500044834697225,1
302606926,1700943431969955840,18
302606926,1095314552424607744,1
302606926,257549126,2
302606926,1017205251311468545,1
302606926,1315842710079643649,1
302606926,1558110515464847362,1
302606926,992610181736366086,1
302606926,4564565058,1
302606926,540612927,25
302606926,2326701534,1
302606926,1267831329640464384,1
302606926,1253245182469791746,1
302606926,1176878518401024000,1
302606926,1393079331878887425,1
302606926,1716503096371871744,1
302606926,462653500,1
302606926,1451214331446579206,2
302606926,1130873503844933632,2
302606926,1132473327325331456,1
302606926,1175774566414553088,1
302606926,1432228277892960263,1
302606926,1609138636842504192,7
302606926,171373930,2
302606926,1228374518046920704,2
302606926,1535136173034971143,1
302606926,842189604,2
302606926,1721413028980412416,1
302606926,1786954423983550464,1
302606926,1789852845631840256,1
302606926,853919972,1
302606926,578113852,2
302606926,1608853432445853697,2
302606926,1393848441457975300,1
302606926,1260772111318052865,1
302606926,1721073486,1
302606926,811281962,1
302606926,69134273,1
302606926,1608847532549099522,1
302606926,1275635161124737024,2
302606926,1227555071040212992,1
302606926,1655065390790369280,1
302606926,1179646555302678528,1
302606926,3018769291,1
302606926,1469635340465885190,1
302606926,194018350,1
302606926,109794562,1
302606926,192748232,3
302606926,3111597366,1
302606926,306629752,2
302606926,1546061239738331138,1
302606926,1264089204486582273,1
302606926,1397145554518302721,1
302606926,562778871,2
302606926,70881038,1
302606926,387674143,1
302606926,1040253415752749056,1
302606926,1380220783453118464,2
302606926,1447891434506375172,2
302606926,1005218367077265409,1
302606926,1304246380085407744,1
302606926,1480802771007774724,1
302606926,1681807204738019328,1
302606926,306068111,1
302606926,1388961580910399488,1
302606926,462662323,2
302606926,1792588219768549376,1
302606926,1681868654462500865,1
302606926,1511866551225315332,1
302606926,367091427,2
302606926,1265570939200327682,1
302606926,163361303,1
302606926,2368557703,1
302606926,1250758936656883713,1
302606926,918086482954354688,1
302606926,277010298,1
302606926,1501316577190285313,1
302606926,444631434,1
302606926,1594574881944850432,1
302606926,1530571851541336064,1
302606926,1032592410302267392,2
302606926,1436895467762110470,1
302606926,1693581943655522304,1
302606926,1771248247841140736,1
302606926,1247920378267099138,1
302606926,1674032237409603584,1
302606926,814369620777832449,1
302606926,1520412102166745090,1
302606926,1820758943955849216,1
302606926,836176342890733572,1
302606926,1222515533397946368,5
302606926,339009801,10
302606926,1595367328237383680,2
302606926,4325535854,4
302606926,1539598972037505025,2
302606926,1589537889192652801,1
302606926,318866102,2
302606926,995454218025648129,1
302606926,1341078175,2
302606926,1407929900749574145,2
302606926,1793286672467238912,4
302606926,1489104444654759938,1
302606926,1131365052882120704,2
302606926,1469469872,1
302606926,889315226985693184,3
302606926,1772140781484363776,1
302606926,2931379940,1
302606926,1154673089080254464,1
302606926,54842571,1
302606926,1655984043400523776,1
302606926,1807728813440425984,1
302606926,819075279079378945,1
302606926,579089901,3
302606926,1605893658263183360,1
302606926,50176307,11
302606926,1552882868648456193,1
302606926,1216330007653449728,2
302606926,1121995518635196416,1
302606926,886744849,2
302606926,1252758487106375680,1
302606926,1280243871276912640,1
302606926,1850833772,3
302606926,2821268944,1
302606926,1027924981441683457,2
302606926,114451768,1
302606926,1253238793500426240,1
302606926,1626887432066170881,1
302606926,4240744999,1
302606926,1500137380195741697,2
302606926,1358444337747480577,1
302606926,1500920425479815169,2
302606926,108819730,2
302606926,1611580811748478976,4
302606926,1480746989763530755,1
302606926,1489891145429643265,1
302606926,1588368407669637121,1
302606926,1068079964237455360,1
302606926,2942000958,1
302606926,84294228,2
302606926,1399719745662820354,1
302606926,3170115302,1
302606926,1442995680818044935,1
302606926,1748712090343538688,3
302606926,469852137,1
302606926,1261131794,1
302606926,1562579656326672387,1
302606926,285371425,1
302606926,1697606619876786176,1
302606926,1774252982122786816,1
302606926,1760654096850399232,1
302606926,1388347834743672839,1
302606926,1740148471980822528,1
302606926,1842180984,2
302606926,1739683467389243392,1
302606926,237647445,2
1248788066493292544,1352204518444810241,19
1248788066493292544,1076427513155411968,1
1248788066493292544,970880164975357953,1
1248788066493292544,1129672753651388416,3
1248788066493292544,1366273234660777984,1
1248788066493292544,1474766558442360835,1
1248788066493292544,241422232,1
1248788066493292544,1438621263761592320,2
1248788066493292544,1486288549519724545,1
1248788066493292544,1503095026066210816,8
1248788066493292544,1191410828253130752,3
1248788066493292544,1490265456120254466,1
1248788066493292544,807788035894980608,7
1248788066493292544,1214365112720510976,2
1248788066493292544,124063292,2
1248788066493292544,1132569845952798720,1
1248788066493292544,1338474966962991106,2
1248788066493292544,187437530,1
1248788066493292544,1323478628563185666,6
1248788066493292544,1340654649892773889,2
1248788066493292544,1003173136391495681,1
1248788066493292544,1158471938,9
1248788066493292544,1670444418128822272,1
1248788066493292544,1455095505327845377,4
1248788066493292544,542231161,1
1248788066493292544,1530571851541336064,1
1248788066493292544,1489319288179929088,1
1248788066493292544,1580588283465461760,1
1248788066493292544,1649770975448420354,2
1248788066493292544,18071520,1
1248788066493292544,1364784780932382720,2
1248788066493292544,1700943431969955840,1
1248788066493292544,540612927,1
1248788066493292544,1393079331878887425,1
1248788066493292544,1609138636842504192,2
1248788066493292544,23343960,2
1248788066493292544,1806039874979733504,3
1248788066493292544,1681868654462500865,1
1248788066493292544,1771248247841140736,1
1248788066493292544,1595367328237383680,1
1248788066493292544,2931379940,1
1248788066493292544,54842571,4
1248788066493292544,1117529034,1
1248788066493292544,1500137380195741697,1
1248788066493292544,4240744999,1
1248788066493292544,108819730,14
1248788066493292544,1748712090343538688,1
1248788066493292544,3281027354,1
1248788066493292544,237647445,2
