"conversation_id_str","created_at","favorite_count","full_text","id_str","image_url","in_reply_to_screen_name","lang","location","quote_count","reply_count","retweet_count","tweet_url","user_id","username"
"1850901858635936109","Tue Oct 29 09:55:55 +0000 2024","0","@gryffinmugs @gryffinmugs Makasih banyak udah setia bareng Telkomsel. Sehat selalu ya buat Kakak dan keluarga -Darlan","1851201286609445063","","gryffinmugs","in","Indonesia","0","0","0","https://x.com/Telkomsel/status/1851201286609445063","255409050","Telkomsel"
"1851201096825651306","Tue Oct 29 09:55:09 +0000 2024","0","mana ni paket murah lagi masa cuma sekali aktifin doang @Telkomsel","1851201096825651306","","","in","Random","0","0","0","https://x.com/Pukisbukankue/status/1851201096825651306","302606926","Pukisbukankue"
"1851175230301225283","Tue Oct 29 09:54:44 +0000 2024","0","@cuteflxwrr Udah stabil lagi belum sinyalnya sekarang Kak Nela? -Pange","1851200990353273318","","cuteflxwrr","in","Indonesia","0","0","0","https://x.com/Telkomsel/status/1851200990353273318","255409050","Telkomsel"
"1850901858635936109","Tue Oct 29 09:53:41 +0000 2024","0","@Telkomsel Yoiii pelanggan tetap since 2017 ","1851200728427323638","","Telkomsel","in","alana","0","1","0","https://x.com/gryffinmugs/status/1851200728427323638","1248788066493292544","gryffinmugs"
"1850901858635936109","Tue Oct 29 09:53:28 +0000 2024","0","@fikimridho Jangan ngambek dong Kak Piki. Kan sekarang udah dapet promo Telkomsel-nya tuh Kak Ohiya gimana kondisi jaringannya Kak? Aman kan Kak? :) -Pange","1851200672181735458","","fikimridho","in","Indonesia","0","0","0","https://x.com/Telkomsel/status/1851200672181735458","255409050","Telkomsel"
"1851200506225627630","Tue Oct 29 09:52:48 +0000 2024","0","Mau top up paket data susah @myorbitid @Telkomsel @YLKI_ID https://t.co/KUSrpXd4Kn","1851200506225627630","https://pbs.twimg.com/media/GbDJC5lbQAA-QsQ.jpg","","in"," Gili Asahan, Lombok","0","0","0","https://x.com/lalu_lula77/status/1851200506225627630","118287748","lalu_lula77"
"1850901858635936109","Tue Oct 29 09:52:21 +0000 2024","0","@tanyakanrl @Telkomsel 50rebu 12 GB. kalau ada yg lebih murah untuk internet doang dan 30 hari infoin min. no paket nonton gaming dkk cuma butuh internet doang","1851200389997363464","","tanyakanrl","in","","0","0","0","https://x.com/deirdre_xo/status/1851200389997363464","1254067328913829889","deirdre_xo"
"1851200266441539936","Tue Oct 29 09:51:51 +0000 2024","0","Telkomsel Luncurkan IndiHome Paket Movie Hemat dan Lengkap dengan Belasan Platform Streaming Mulai Rp 309 Ribu https://t.co/juFtBdsv54","1851200266441539936","","","in","Batam, Indonesia","0","0","0","https://x.com/batamtoday/status/1851200266441539936","224204467","batamtoday"
"1851200235307221410","Tue Oct 29 09:51:44 +0000 2024","0","Gue ngeri banget deh tadi pagi nyokap gue marah ke bokap trus nyuruh gue checkout barang barang yang nyokap gue mau di shopee biar dibayar semua sama bokap gw ","1851200235307221410","","","in","DNSS. DNFF. DNFWOC.","0","0","0","https://x.com/AudreyTelkomsel/status/1851200235307221410","3285237451","AudreyTelkomsel"
"1850901858635936109","Tue Oct 29 09:51:25 +0000 2024","0","@happyholly93 Wiih mantaps Kak Rin Thanks udah setia ya Kak :) Btw Kakak udah berapa lama nih pake Telkomsel-nya Kak? -Pange","1851200155502145984","","happyholly93","in","Indonesia","0","0","0","https://x.com/Telkomsel/status/1851200155502145984","255409050","Telkomsel"
"1851172293718000005","Tue Oct 29 09:49:46 +0000 2024","0","@seninkamispuasa Kalo sekarang gimana jaringannya Kak? Udah stabil lagi belum Kak? -Pange","1851199741960593499","","seninkamispuasa","in","Indonesia","0","0","0","https://x.com/Telkomsel/status/1851199741960593499","255409050","Telkomsel"
"1851199668568633789","Tue Oct 29 09:49:29 +0000 2024","0","beneeer anjay jaringan cepet murah meriah kadang di tempat yg telkomsel ga ada sinyal tri adaa ","1851199668568633789","","","in","Indonesia","0","0","0","https://x.com/gausadigubris/status/1851199668568633789","1140214504057233408","gausadigubris"
"1851172045046104384","Tue Oct 29 09:48:28 +0000 2024","0","@pid4aaak Waduh tapi kalo sekarang udah normal lagi belum jaringannya Kak Fida? -Pange","1851199415358537890","","pid4aaak","in","Indonesia","0","0","0","https://x.com/Telkomsel/status/1851199415358537890","255409050","Telkomsel"
"1850901858635936109","Tue Oct 29 09:47:27 +0000 2024","0","@tanyakanrl digua kuota telkomsel mahal banget anjirrr","1851199155873645015","","tanyakanrl","in","0__1","0","0","0","https://x.com/cenolaby/status/1851199155873645015","1629502556467777536","cenolaby"
"1850901858635936109","Tue Oct 29 09:47:26 +0000 2024","0","@kuetiaudang Asik banget gak tuh Kak? Biasa kuotanya untuk akses apa aja Kak? -Anggi","1851199153625522223","","kuetiaudang","in","Indonesia","0","0","0","https://x.com/Telkomsel/status/1851199153625522223","255409050","Telkomsel"
"1850901858635936109","Tue Oct 29 09:47:23 +0000 2024","0","@dniraaaa Yuhuu selamat menggunakan ya Kak @dniraaaa. Kalau paket gratis saat ini belum ada. Tapi Kakak bisa klaim Tambah Hepi hanya dengan pulsa seribu 10 Telkomsel Poin ya cek MyTelkomsel nya -Aci","1851199142405853540","","dniraaaa","in","Indonesia","0","0","0","https://x.com/Telkomsel/status/1851199142405853540","255409050","Telkomsel"
"1851162632923107694","Tue Oct 29 09:45:31 +0000 2024","0","@bviousmney Paket Telkomsel-nya ada juga ko promo dengan benefit yang menarik loh Kak Udah cek di MyTelkomsel belum nih? :) -Pange","1851198669607092380","","bviousmney","in","Indonesia","0","0","0","https://x.com/Telkomsel/status/1851198669607092380","255409050","Telkomsel"
"1850901858635936109","Tue Oct 29 09:44:57 +0000 2024","0","@Telkomsel udh min kasih ak kwta grtis donk","1851198529034936706","","Telkomsel","in","she/her","0","1","0","https://x.com/dniraaaa/status/1851198529034936706","1504425968613851138","dniraaaa"
"1850901858635936109","Tue Oct 29 09:44:17 +0000 2024","0","@dniraaaa Mantap banget kan Kak? Gimana udah berhasil diaktifin belum paketnya? ️ -Anggi","1851198361518686478","","dniraaaa","in","Indonesia","0","1","0","https://x.com/Telkomsel/status/1851198361518686478","255409050","Telkomsel"
"1851197394140225793","Tue Oct 29 09:44:00 +0000 2024","0","@ekyic @ekyic Halo Kak JJ. Digunakan orang lain untuk registrasi apa ya Kak? Silakan infoin lebih rinci di DM ya makasih -Nabil","1851198290618167373","","ekyic","in","Indonesia","0","0","0","https://x.com/Telkomsel/status/1851198290618167373","255409050","Telkomsel"
"1850901858635936109","Tue Oct 29 09:42:32 +0000 2024","0","@AnakBaiks_ Kakak lokasinya daerah mana nih? Biar aku bantu cek kendalanya -Anggi","1851197919665545348","","AnakBaiks_","in","Indonesia","0","0","0","https://x.com/Telkomsel/status/1851197919665545348","255409050","Telkomsel"
"1851100433239990549","Tue Oct 29 09:40:54 +0000 2024","0","@caratstalk hoshi seperti bapak bapak yg lagi ngasuh anak ","1851197510548930653","","caratstalk","in","","0","0","0","https://x.com/trbalik/status/1851197510548930653","1530571851541336064","trbalik"
"1851195768344101063","Tue Oct 29 09:40:52 +0000 2024","0","@tja_claudia Konfirmasi ke DM Telkomsel yuk Kak @tja_claudia lalu infoin nomor HP nama terdaftar dan ttl disana supaya bisa dibantu lebih lanjut ️ -Sari","1851197501313036300","","tja_claudia","in","Indonesia","0","0","0","https://x.com/Telkomsel/status/1851197501313036300","255409050","Telkomsel"
"1850901858635936109","Tue Oct 29 09:40:43 +0000 2024","0","@tanyakanrl Aku pake telkomsel 35gb 60k","1851197465082368309","","tanyakanrl","in","","0","0","0","https://x.com/sugarthomcat/status/1851197465082368309","995843888030957569","sugarthomcat"
"1850901858635936109","Tue Oct 29 09:40:43 +0000 2024","0","@aileyyyyiess Terbaik kan Kak? Udah berhasil diaktifin belum paketnya? -Anggi","1851197464868766019","","aileyyyyiess","in","Indonesia","0","0","0","https://x.com/Telkomsel/status/1851197464868766019","255409050","Telkomsel"
"1851197394140225793","Tue Oct 29 09:40:27 +0000 2024","0","Min cara unreg nomor yang diregistrasi orang ga dikenal pake nik kita gimana caranya? Saya mau daftar jadi ga bisa @Telkomsel","1851197394140225793","","","in","","0","1","0","https://x.com/ekyic/status/1851197394140225793","1546135642093998080","ekyic"
"1851193190683914311","Tue Oct 29 09:37:44 +0000 2024","0","@Telkomsel belum dibales kak dm nya","1851196711299080209","","Telkomsel","in","","0","0","0","https://x.com/greenasahi/status/1851196711299080209","1494651143632613378","greenasahi"
